mode,channel,snr_db,seeds,copies,accumulated,control,single,mean_copy_to_decode
4PSK.200.100.E,awgn,-18.0,12,6,0,0,0,
4PSK.200.100.E,awgn,-17.0,12,6,0,0,0,
4PSK.200.100.E,awgn,-16.0,12,6,0,0,0,
4PSK.200.100.E,awgn,-15.0,12,6,0,0,0,
4PSK.200.100.E,awgn,-14.0,12,6,0,0,0,
4PSK.200.100.E,awgn,-13.0,12,6,1,1,0,5.0
4PSK.200.100.E,awgn,-12.0,12,6,0,0,0,
4PSK.200.100.E,awgn,-11.0,12,6,0,0,0,
4PSK.200.100.E,awgn,-10.0,12,6,4,0,0,5.75
4PSK.200.100.E,awgn,-9.0,12,6,10,0,0,4.0
4PSK.200.100.E,awgn,-8.0,12,6,12,0,0,2.92
4PSK.200.100.E,awgn,-7.0,12,6,12,0,0,2.33
4PSK.200.100.E,awgn,-6.0,12,6,12,11,6,1.58
4PSK.200.100.E,awgn,-5.0,12,6,12,12,11,1.08
4PSK.200.100.E,awgn,-4.0,12,6,12,12,12,1.0
4PSK.200.100.E,awgn,-3.0,12,6,12,12,12,1.0
4PSK.200.100.E,awgn,-2.0,12,6,12,12,12,1.0
4PSK.200.100.E,watterson-good,-18.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-17.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-16.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-15.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-14.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-13.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-12.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-11.0,12,6,0,0,0,
4PSK.200.100.E,watterson-good,-10.0,12,6,3,0,0,5.33
4PSK.200.100.E,watterson-good,-9.0,12,6,8,0,0,4.25
4PSK.200.100.E,watterson-good,-8.0,12,6,12,2,0,3.17
4PSK.200.100.E,watterson-good,-7.0,12,6,11,2,0,2.27
4PSK.200.100.E,watterson-good,-6.0,12,6,12,10,5,1.75
4PSK.200.100.E,watterson-good,-5.0,12,6,12,12,10,1.17
4PSK.200.100.E,watterson-good,-4.0,12,6,12,12,11,1.08
4PSK.200.100.E,watterson-good,-3.0,12,6,12,12,11,1.08
4PSK.200.100.E,watterson-good,-2.0,12,6,12,12,11,1.08
4PSK.200.100.E,watterson-moderate,-18.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-17.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-16.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-15.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-14.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-13.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-12.0,12,6,2,2,0,4.5
4PSK.200.100.E,watterson-moderate,-11.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-10.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-9.0,12,6,0,0,0,
4PSK.200.100.E,watterson-moderate,-8.0,12,6,1,0,0,6.0
4PSK.200.100.E,watterson-moderate,-7.0,12,6,2,0,0,5.0
4PSK.200.100.E,watterson-moderate,-6.0,12,6,6,0,0,4.33
4PSK.200.100.E,watterson-moderate,-5.0,12,6,9,3,2,3.56
4PSK.200.100.E,watterson-moderate,-4.0,12,6,11,6,1,3.27
4PSK.200.100.E,watterson-moderate,-3.0,12,6,11,10,6,1.73
4PSK.200.100.E,watterson-moderate,-2.0,12,6,12,10,6,2.17
4PSK.200.100.E,watterson-poor,-18.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-17.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-16.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-15.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-14.0,12,6,1,1,0,2.0
4PSK.200.100.E,watterson-poor,-13.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-12.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-11.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-10.0,12,6,1,1,0,2.0
4PSK.200.100.E,watterson-poor,-9.0,12,6,0,0,0,
4PSK.200.100.E,watterson-poor,-8.0,12,6,1,1,0,2.0
4PSK.200.100.E,watterson-poor,-7.0,12,6,3,0,0,5.33
4PSK.200.100.E,watterson-poor,-6.0,12,6,3,0,0,5.0
4PSK.200.100.E,watterson-poor,-5.0,12,6,9,2,0,4.44
4PSK.200.100.E,watterson-poor,-4.0,12,6,10,2,0,3.9
4PSK.200.100.E,watterson-poor,-3.0,12,6,12,9,0,3.58
4PSK.200.100.E,watterson-poor,-2.0,12,6,9,9,1,2.89
4PSK.200.100.E,impulsive,-18.0,12,6,0,0,0,
4PSK.200.100.E,impulsive,-17.0,12,6,1,1,0,2.0
4PSK.200.100.E,impulsive,-16.0,12,6,0,0,0,
4PSK.200.100.E,impulsive,-15.0,12,6,0,0,0,
4PSK.200.100.E,impulsive,-14.0,12,6,0,0,0,
4PSK.200.100.E,impulsive,-13.0,12,6,0,0,0,
4PSK.200.100.E,impulsive,-12.0,12,6,0,0,0,
4PSK.200.100.E,impulsive,-11.0,12,6,1,1,1,1.0
4PSK.200.100.E,impulsive,-10.0,12,6,0,0,0,
4PSK.200.100.E,impulsive,-9.0,12,6,2,2,1,1.5
4PSK.200.100.E,impulsive,-8.0,12,6,8,1,0,4.62
4PSK.200.100.E,impulsive,-7.0,12,6,12,0,0,3.17
4PSK.200.100.E,impulsive,-6.0,12,6,12,1,0,2.5
4PSK.200.100.E,impulsive,-5.0,12,6,12,7,2,1.92
4PSK.200.100.E,impulsive,-4.0,12,6,12,12,5,1.58
4PSK.200.100.E,impulsive,-3.0,12,6,12,12,12,1.0
4PSK.200.100.E,impulsive,-2.0,12,6,12,12,12,1.0
4FSK.200.50S.E,awgn,-18.0,12,6,0,0,0,
4FSK.200.50S.E,awgn,-17.0,12,6,0,0,0,
4FSK.200.50S.E,awgn,-16.0,12,6,0,0,0,
4FSK.200.50S.E,awgn,-15.0,12,6,0,0,0,
4FSK.200.50S.E,awgn,-14.0,12,6,0,0,0,
4FSK.200.50S.E,awgn,-13.0,12,6,0,0,0,
4FSK.200.50S.E,awgn,-12.0,12,6,2,0,0,6.0
4FSK.200.50S.E,awgn,-11.0,12,6,3,0,0,3.33
4FSK.200.50S.E,awgn,-10.0,12,6,9,7,3,2.33
4FSK.200.50S.E,awgn,-9.0,12,6,12,12,8,1.58
4FSK.200.50S.E,awgn,-8.0,12,6,12,12,10,1.25
4FSK.200.50S.E,awgn,-7.0,12,6,12,12,12,1.0
4FSK.200.50S.E,awgn,-6.0,12,6,12,12,11,1.08
4FSK.200.50S.E,awgn,-5.0,12,6,12,12,11,1.08
4FSK.200.50S.E,awgn,-4.0,12,6,12,12,12,1.0
4FSK.200.50S.E,awgn,-3.0,12,6,12,12,12,1.0
4FSK.200.50S.E,awgn,-2.0,12,6,12,12,12,1.0
4FSK.200.50S.E,watterson-good,-18.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-good,-17.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-good,-16.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-good,-15.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-good,-14.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-good,-13.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-good,-12.0,12,6,0,0,0,
4FSK.200.50S.E,watterson-good,-11.0,12,6,2,1,1,3.0
4FSK.200.50S.E,watterson-good,-10.0,12,6,10,6,2,3.5
4FSK.200.50S.E,watterson-good,-9.0,12,6,11,10,4,2.27
4FSK.200.50S.E,watterson-good,-8.0,12,6,12,12,9,1.25
4FSK.200.50S.E,watterson-good,-7.0,12,6,12,12,9,1.33
4FSK.200.50S.E,watterson-good,-6.0,12,6,12,12,12,1.0
4FSK.200.50S.E,watterson-good,-5.0,12,6,12,12,8,1.42
4FSK.200.50S.E,watterson-good,-4.0,12,6,12,12,11,1.17
4FSK.200.50S.E,watterson-good,-3.0,12,6,12,12,12,1.0
